,Country Name,Country Code,Year,Number of Arrivals,Outbound Visitor Expenditure (current US$),Number of Departures,Inbound Visitor Expenditures (current US$)
255,Mexico,MEX,2012,76749000.0,10735000000.0,87332000.0,13320000000.0
256,Malta,MLT,2012,2007000.0,,368000.0,
257,Myanmar,MMR,2012,1059000.0,265000000.0,,550000000.0
258,Montenegro,MNE,2012,1264000.0,67000000.0,,860000000.0
259,Malaysia,MYS,2012,25033000.0,13165000000.0,,21711000000.0
260,Netherlands,NLD,2012,11680000.0,20094000000.0,18628000.0,17675000000.0
261,Norway,NOR,2012,4538000.0,18131000000.0,9250000.0,6784000000.0
262,New Zealand,NZL,2012,2574000.0,3715000000.0,2172000.0,7142000000.0
263,Oman,OMN,2012,1714000.0,1644000000.0,3972000.0,1723000000.0
264,Panama,PAN,2012,2086000.0,591000000.0,447000.0,4585000000.0
265,Peru,PER,2012,3642000.0,1900000000.0,2296000.0,3074000000.0
266,Philippines,PHL,2012,4273000.0,7140000000.0,,4963000000.0
267,Poland,POL,2012,67390000.0,8911000000.0,48290000.0,11704000000.0
268,Puerto Rico,PRI,2012,4197000.0,1162000000.0,876000.0,3193000000.0
269,Portugal,PRT,2012,7503000.0,4482000000.0,1361000.0,14578000000.0
270,Paraguay,PRY,2012,3655000.0,363000000.0,400000.0,291000000.0
271,Qatar,QAT,2012,2324000.0,10702000000.0,,7220000000.0
272,Romania,ROU,2012,7937000.0,2108000000.0,11149000.0,1904000000.0
273,Russia,RUS,2012,28177000.0,48096000000.0,47813000.0,17876000000.0
274,Saudi Arabia,SAU,2012,19847000.0,17986000000.0,20084259.765625,8400000000.0
275,Singapore,SGP,2012,14496000.0,23139000000.0,8048000.0,18795000000.0
276,El Salvador,SLV,2012,1738000.0,287000000.0,1462000.0,900000000.0
277,Slovenia,SVN,2012,2377000.0,1508000000.0,4465000.0,2793000000.0
278,Sweden,SWE,2012,12372000.0,,,
279,Thailand,THA,2012,22354000.0,8095000000.0,5721000.0,34565000000.0
280,Tunisia,TUN,2012,6999000.0,673000000.0,2897000.0,2931000000.0
281,Turkiye,TUR,2012,37715000.0,4585000000.0,5803000.0,31566000000.0
282,Ukraine,UKR,2012,25061000.0,5536000000.0,21755000.0,5988000000.0
283,Uruguay,URY,2012,3155000.0,1043000000.0,1816000.0,2666000000.0
284,United States of America,USA,2012,171629890.625,138167000000.0,116329000.0,195113000000.0
285,Uzbekistan,UZB,2012,1895000.0,,,
286,Virgin Islands (U.S.),VIR,2012,2640000.0,,,1210000000.0
287,Vietnam,VNM,2012,6848000.0,1856000000.0,,6850000000.0
288,South Africa,ZAF,2012,13069000.0,7145000000.0,,11202000000.0
289,Zimbabwe,ZWE,2012,1794000.0,387000000.0,720000.0,174000000.0
290,Albania,ALB,2013,3256000.0,1567000000.0,3928000.0,1670000000.0
291,Andorra,AND,2013,7676000.0,,,
293,Argentina,ARG,2013,6510000.0,8421000000.0,9844000.0,5199000000.0
294,Australia,AUS,2013,6482000.0,35197000000.0,9052000.0,32889000000.0
295,Austria,AUT,2013,24813000.0,,10671000.0,
296,Azerbaijan,AZE,2013,2509000.0,3032000000.0,4285000.0,2618000000.0
297,Belgium,BEL,2013,7684000.0,24507000000.0,10803000.0,14534000000.0
298,Bulgaria,BGR,2013,9192000.0,1342000000.0,3930000.0,4410000000.0
299,Bahrain,BHR,2013,9163000.0,1001000000.0,,1875000000.0
300,Bahamas,BHS,2013,6151000.0,362000000.0,,2305000000.0
301,Belarus,BLR,2013,6242000.0,1333000000.0,8841000.0,1156000000.0
302,Brazil,BRA,2013,5813000.0,29286000000.0,8866000.0,6784000000.0
303,Canada,CAN,2013,25167000.0,,65780000.0,
304,Switzerland,CHE,2013,8967000.0,19963000000.0,20303000.0,20236000000.0
305,Chile,CHL,2013,4457000.0,2499000000.0,3674000.0,3171000000.0
306,China,CHN,2013,129078000.0,,98185000.0,
307,Côte d'Ivoire,CIV,2013,380000.0,583000000.0,,191000000.0
308,Colombia,COL,2013,2595000.0,4592000000.0,3605000.0,4819000000.0
309,Costa Rica,CRI,2013,2641000.0,649000000.0,790000.0,3171000000.0
310,Cuba,CUB,2013,2862000.0,,286000.0,2608000000.0
311,Cayman Is.,CYM,2013,1721000.0,192000000.0,,500000000.0
312,Cyprus,CYP,2013,2626000.0,1254000000.0,1115000.0,2930000000.0
313,Czechia,CZE,2013,26332000.0,4698000000.0,5781000.0,7792000000.0
314,Germany,DEU,2013,31545000.0,102668000000.0,87459000.0,55486000000.0
315,Denmark,DNK,2013,26516000.0,10072000000.0,6977000.0,6490000000.0
316,Dominican Rep.,DOM,2013,5114000.0,679000000.0,392000.0,5055000000.0
317,Algeria,DZA,2013,2733000.0,531000000.0,2136000.0,326000000.0
318,Ecuador,ECU,2013,1364000.0,989000000.0,1138000.0,1251000000.0
319,Egypt,EGY,2013,9464000.0,3261000000.0,5782000.0,6747000000.0
320,Spain,ESP,2013,103231000.0,,13434000.0,
321,Estonia,EST,2013,5737000.0,1236000000.0,1166000.0,2022000000.0
322,Finland,FIN,2013,2797000.0,6387000000.0,9526000.0,5774000000.0
323,France,FRA,2013,204410000.0,52444000000.0,30457000.0,66054000000.0
324,United Kingdom,GBR,2013,33567000.0,,68959000.0,
325,Georgia,GEO,2013,4954000.0,537000000.0,3220000.0,1916000000.0
326,Greece,GRC,2013,20112000.0,3768000000.0,4594000.0,17433000000.0
327,Guatemala,GTM,2013,1516000.0,995000000.0,846000.0,1160699951.17188
328,Hong Kong,HKG,2013,54299000.0,21215000000.0,84414000.0,42426000000.0
329,Honduras,HND,2013,1857000.0,506000000.0,1055000.0,618000000.0
330,Croatia,HRV,2013,48345000.0,923000000.0,5444000.0,9715000000.0
331,Hungary,HUN,2013,43611000.0,2526000000.0,16038000.0,6671000000.0
332,Indonesia,IDN,2013,8802000.0,10280000000.0,8025000.0,10302000000.0
333,India,IND,2013,6968000.0,13884000000.0,16626000.0,19042000000.0
334,Ireland,IRL,2013,8260000.0,6198000000.0,6579000.0,10165000000.0
335,"Iran, Islamic Rep.",IRN,2013,4769000.0,9464000000.0,,3306000000.0
336,Iceland,ISL,2013,900000.0,,365000.0,
337,Israel,ISR,2013,3540000.0,5757000000.0,4757000.0,6600000000.0
338,Italy,ITA,2013,76762000.0,,52633000.0,
339,Jamaica,JAM,2013,3274000.0,392000000.0,,
340,Jordan,JOR,2013,5389000.0,1206000000.0,1498000.0,5145000000.0
341,Japan,JPN,2013,10364000.0,32244000000.0,17473000.0,16865000000.0
342,Kazakhstan,KAZ,2013,6841000.0,3772000000.0,10144000.0,2365000000.0
343,Kyrgyzstan,KGZ,2013,4134000.0,505000000.0,3993000.0,585000000.0
344,Cambodia,KHM,2013,4210000.0,469000000.0,872000.0,2895000000.0
345,South Korea,KOR,2013,12176000.0,24459000000.0,14846000.0,19457000000.0
346,Kuwait,KWT,2013,6217000.0,10567000000.0,,619000000.0
347,Laos,LAO,2013,3779000.0,907000000.0,2857000.0,613000000.0
348,Lithuania,LTU,2013,5264000.0,,4228000.0,
349,Latvia,LVA,2013,5822000.0,,1776000.0,
350,Macao,MAC,2013,29325000.0,1239000000.0,1446000.0,43755000000.0
351,Morocco,MAR,2013,10349000.0,2002000000.0,2195000.0,8201000000.0
352,Mexico,MEX,2013,78100000.0,11970000000.0,90787000.0,14311000000.0
353,Malta,MLT,2013,2013000.0,,404000.0,
354,Myanmar,MMR,2013,2044000.0,131000000.0,,964000000.0
355,Montenegro,MNE,2013,1324000.0,81000000.0,,929000000.0
356,Malaysia,MYS,2013,25715000.0,13377000000.0,,23283000000.0
357,Netherlands,NLD,2013,12783000.0,21009000000.0,18094000.0,19429000000.0
358,Norway,NOR,2013,4778000.0,20116000000.0,9280000.0,7175000000.0
359,New Zealand,NZL,2013,2710000.0,3861000000.0,2197000.0,7434000000.0
360,Oman,OMN,2013,1923000.0,1824000000.0,4301000.0,1888000000.0
361,Panama,PAN,2013,2202000.0,1078000000.0,619000.0,5419000000.0
362,Peru,PER,2013,4010000.0,2105000000.0,2364000.0,3916000000.0
363,Philippines,PHL,2013,4681000.0,8400000000.0,,5599000000.0
364,Poland,POL,2013,72310000.0,8916000000.0,52580000.0,12242000000.0
365,Puerto Rico,PRI,2013,4210000.0,1142000000.0,839000.0,3311000000.0
366,Portugal,PRT,2013,9177000.0,4882000000.0,1490000.0,16080000000.0
367,Paraguay,PRY,2013,3538000.0,425000000.0,440000.0,299000000.0
368,Qatar,QAT,2013,2612000.0,11729000000.0,,8452000000.0
369,Romania,ROU,2013,8019000.0,2125000000.0,11364000.0,2307000000.0
370,Russia,RUS,2013,30792000.0,59504000000.0,54069000.0,20198000000.0
371,Saudi Arabia,SAU,2013,19934000.0,18648000000.0,22535457.03125,8690000000.0
372,Singapore,SGP,2013,15568000.0,24407000000.0,8647000.0,19231000000.0
373,El Salvador,SLV,2013,1822000.0,270000000.0,1515000.0,1054000000.0
